"ID","Class","Severity","Ruleset(s)","Message","Guidance","Context (Xpath)","Test (Xpath)"
9.65.1,performance,Error,iati,The document format is invalid.,,//iati-activity/result/indicator/document-link,"me:codeListFail(@format, 'FileFormat')"
9.66.1,performance,Error,iati,The document category code is invalid.,,//iati-activity/result/indicator/document-link/category,"me:codeListFail(@code, 'DocumentCategory')"
9.67.1,performance,Error,iati,The language code is invalid.,,//iati-activity/result/indicator/document-link/language,"me:codeListFail(@code, 'Language')"
9.68.1,performance,Error,iati,The document format is invalid.,,//iati-activity/result/indicator/period/actual/document-link,"me:codeListFail(@format, 'FileFormat')"
9.69.1,performance,Error,iati,The document category code is invalid.,,//iati-activity/result/indicator/period/actual/document-link/category,"me:codeListFail(@code, 'DocumentCategory')"
9.7.1,financial,Error,iati,The budget status is invalid.,,//iati-activity/budget,"me:codeListFail(@status, 'BudgetStatus')"
9.70.1,performance,Error,iati,The language code is invalid.,,//iati-activity/result/indicator/period/actual/document-link/language,"me:codeListFail(@code, 'Language')"
9.71.1,performance,Error,iati,The document format is invalid.,,//iati-activity/result/indicator/period/target/document-link,"me:codeListFail(@format, 'FileFormat')"
9.72.1,performance,Error,iati,The document category code is invalid.,,//iati-activity/result/indicator/period/target/document-link/category,"me:codeListFail(@code, 'DocumentCategory')"
9.73.1,performance,Error,iati,The language code is invalid.,,//iati-activity/result/indicator/period/target/document-link/language,"me:codeListFail(@code, 'Language')"
9.74.1,performance,Error,iati,The indicator reference code vocabulary is invalid.,,//iati-activity/result/indicator/reference,"me:codeListFail(@vocabulary, 'IndicatorVocabulary')"
9.75.1,performance,Error,iati,The result reference code vocabulary is invalid.,,//iati-activity/result/reference,"me:codeListFail(@vocabulary, 'ResultVocabulary')"
9.76.1,classifications,Error,iati,The OECD DAC sector is invalid.,,"//iati-activity/sector[@vocabulary = ('1', 'DAC') or not(@vocabulary)]","me:codeListFail(@code, 'Sector')"
9.77.1,classifications,Error,iati,The OECD DAC category is invalid.,,//iati-activity/sector[@vocabulary = '2'],"me:codeListFail(@code, 'SectorCategory')"
9.78.1,classifications,Error,iati,The sector vocabulary is invalid.,,//iati-activity/sector,"me:codeListFail(@vocabulary, 'SectorVocabulary')"
9.79.1,classifications,Error,iati,The tag vocabulary is invalid.,,//iati-activity/tag,"me:codeListFail(@vocabulary, 'TagVocabulary')"
9.8.1,financial,Error,iati,The budget type is invalid.,,//iati-activity/budget,"me:codeListFail(@type, 'BudgetType')"
9.80.1,financial,Error,iati,The aid type is invalid.,,//iati-activity/transaction/aid-type[@vocabulary = '1' or not(@vocabulary)],"me:codeListFail(@code, 'AidType')"
9.81.1,financial,Error,iati,The aid type vocabulary is invalid.,,//iati-activity/transaction/aid-type,"me:codeListFail(@vocabulary, 'AidTypeVocabulary')"
9.82.1,financial,Error,iati,The disbursement channel code is invalid.,,//iati-activity/transaction/disbursement-channel,"me:codeListFail(@code, 'DisbursementChannel')"
9.83.1,financial,Error,iati,The finance type is invalid.,,//iati-activity/transaction/finance-type,"me:codeListFail(@code, 'FinanceType')"
9.84.1,financial,Error,iati,The flow type is invalid.,,//iati-activity/transaction/flow-type,"me:codeListFail(@code, 'FlowType')"
9.85.1,financial,Error,iati,The recipient country code is invalid.,,//iati-activity/transaction/recipient-country,"me:codeListFail(@code, 'Country')"
9.86.1,financial,Error,iati,The recipient region code is invalid.,,//iati-activity/transaction/recipient-region[@vocabulary = '1' or not(@vocabulary)],"me:codeListFail(@code, 'Region')"
9.87.1,financial,Error,iati,The recipient region vocabulary is invalid.,,//iati-activity/transaction/recipient-region,"me:codeListFail(@vocabulary, 'RegionVocabulary')"
9.88.1,financial,Error,iati,The organisation type is invalid.,,//iati-activity/transaction/provider-org,"me:codeListFail(@type, 'OrganisationType')"
9.89.1,financial,Error,iati,The organisation type is invalid.,,//iati-activity/transaction/receiver-org,"me:codeListFail(@type, 'OrganisationType')"
9.9.1,financial,Error,iati,The currency code is invalid.,,//iati-activity/budget/value,"me:codeListFail(@currency, 'Currency')"
9.90.1,financial,Error,iati,The DAC sector code is invalid.,,//iati-activity/transaction/sector[@vocabulary = '1' or not(@vocabulary)],"me:codeListFail(@code, 'Sector')"
9.91.1,financial,Error,iati,The sector vocabulary is invalid.,,//iati-activity/transaction/sector,"me:codeListFail(@vocabulary, 'SectorVocabulary')"
9.92.1,financial,Error,iati,The tied status code is invalid.,,//iati-activity/transaction/tied-status,"me:codeListFail(@code, 'TiedStatus')"
9.93.1,financial,Error,iati,The transaction type is invalid.,,//iati-activity/transaction/transaction-type,"me:codeListFail(@code, 'TransactionType')"
9.94.1,financial,Error,iati,The currency code is invalid.,,//iati-activity/transaction/value,"me:codeListFail(@currency, 'Currency')"
9.95.1,iati,Error,iati,The language code is invalid.,,//*,"me:codeListFail(@xml:lang, 'Language')"
9.96.1,organisation,Error,iati,The currency code is invalid.,,//iati-organisation,"me:codeListFail(@default-currency, 'Currency')"
9.97.1,iati,Error,iati,The IATI version of the dataset is not a valid version number.,,//iati-organisations,"me:codeListFail(@version, 'Version')"
9.98.1,documents,Error,iati,The document format is invalid.,,//iati-organisation/document-link,"me:codeListFail(@format, 'FileFormat')"
9.99.1,documents,Error,iati,The document category code is invalid.,,//iati-organisation/document-link/category,"me:codeListFail(@code, 'DocumentCategory')"
900.1.1,iati,Warning,practice,The dataset seems to contain activities in both IATI 1.0x and 2.0x formats.,,iati-activities,"(//title,//description,//name)[text()] and (//title,//description,//name)[text()]"
{$idclass}.1,{$class},Error,iati:{$versions},The identifier should not start or end with spaces or newlines.,,*,$item != functx:trim($item)
{$idclass}.10,{$class},,iati:1.x,"The identifier is a 5-digit code, but not on the list used up to IATI version 1.04. It may be intended as a CRS channel code.",me:iati-url('organisation-identifiers/'),*,"matches($item, '^[0-9]{5}$') and local-name($item/..)=('reporting-org', 'participating-org', 'provider-org', 'receiver-org', 'owner-org')"
{$idclass}.10,{$class},,iati:1.x,"The identifier starts with a 5-digit code, but is not on the list used up to IATI version 1.04. It may be intended as a CRS channel code.",me:iati-url('organisation-identifiers/'),*,"matches($item, '^[0-9]{5}.+$')"
{$idclass}.11,{$class},,iati:2.x,The identifier does not begin with an organisation identifier approved by the IATI registry.,,*,"not(some $known-id in $known-publisher-ids satisfies starts-with($item, $known-id||'-'))"
{$idclass}.12,{$class},,iati:2.x,The identifier is not an organisation identifier approved by the IATI registry.,,*,"not($item=$known-publisher-ids) and local-name($item)='ref' and local-name($item/..)=('reporting-org', 'participating-org', 'provider-org', 'receiver-org', 'owner-org')"
{$idclass}.5,{$class},Error,iati:2.x,The identifier is invalid: the prefix must be written in uppercase.,http://org-id.guide,*,"( not (some $prefix in $org-id-prefixes satisfies starts-with($item, $prefix||'-')) and (some $prefix in $org-id-prefixes satisfies starts-with(upper-case($item), $prefix||'-')))"
{$idclass}.7,{$class},,iati:{$versions},,,*,functx:trim($item)=''
{$idclass}.8,{$class},,iati:2.x,The identifier does not start with a known prefix.,http://org-id.guide,*,"not(some $prefix in $org-id-prefixes satisfies starts-with($item, $prefix||'-'))"
{$idclass}.9,{$class},,iati:2.x,The identifier starts with a prefix that it is marked as 'withdrawn'.,http://org-id.guide,*,"some $prefix in $org-id-prefixes[@status='withdrawn'] satisfies starts-with(upper-case($item), $prefix||'-')"
{$pos || '.1'},"{($class, 'iati')[1]}",Error,iati,"{($message, $default)[1]}",,mapping,"me:codeListFail({regex-group(2)}, '{$codelist}')"
